"Card Name","Issuer","Annual Fee","Sign-Up Bonus","Primary Objective","Key Feature","Redemption Value","Co-Branded Partner","Chicardgo Rating"
"Blue Cash Preferred® Card from American Express","American Express",95,"$250 statement credit after $3,000 spend in 6 months.","cash-back","6% at U.S. Supermarkets, 6% on streaming, 3% on gas & transit.","1.0¢ / point (Cash Back)","",4.5
"Bank of America® Customized Cash Rewards","Bank of America",0,"$200 cash bonus after $1,000 spend in 90 days.","cash-back","Choose your own 3% cash back category each month.","1.0¢ / point (Cash Back)","",4
"Bank of America® Unlimited Cash Rewards","Bank of America",0,"$200 cash bonus after $1,000 spend in 90 days.","cash-back","Unlimited 1.5% cash back on all purchases.","1.0¢ / point","",3.5
"BankAmericard®","Bank of America",0,"N/A","specialized","Lengthy 0% intro APR on purchases and balance transfers.","N/A","",3
"Bank of America® Travel Rewards","Bank of America",0,"25,000 online bonus points after $1,000 spend in 90 days.","travel","Unlimited 1.5 points per dollar on all purchases.","1.0¢ / point","",3.5
"Bank of America® Premium Rewards®","Bank of America",95,"60,000 online bonus points after $4,000 spend in 90 days.","travel","2 points per dollar on travel and dining purchases.","1.0¢ / point","",4
"Bank of America® Premium Rewards® Elite","Bank of America",550,"75,000 online bonus points after $5,000 spend in 90 days.","travel","$300 annual airline incidental credit and $150 lifestyle credit.","1.0¢ / point","",4
"Bank of America® Customized Cash Rewards for Students","Bank of America",0,"$200 cash bonus after $1,000 spend in 90 days.","cash-back","Choose your own 3% cash back category each month.","1.0¢ / point","",3
"Bank of America® Unlimited Cash Rewards for Students","Bank of America",0,"$200 cash bonus after $1,000 spend in 90 days.","cash-back","Unlimited 1.5% cash back on all purchases.","1.0¢ / point","",3
"BankAmericard® for Students","Bank of America",0,"N/A","specialized","0% intro APR for 18 billing cycles on purchases and balance transfers.","N/A","",3
"Bank of America® Travel Rewards for Students","Bank of America",0,"25,000 online bonus points after $1,000 spend in 90 days.","travel","Unlimited 1.5 points per dollar on all purchases.","1.0¢ / point","",3
"Bank of America® Customized Cash Rewards Secured","Bank of America",0,"N/A","cash-back","Choose your own 3% cash back category each month.","1.0¢ / point","",3
"Bank of America® Unlimited Cash Rewards Secured","Bank of America",0,"N/A","cash-back","Unlimited 1.5% cash back on all purchases.","1.0¢ / point","",3
"BankAmericard® Secured","Bank of America",0,"N/A","specialized","Build credit with a refundable security deposit.","N/A","",3
"Bank of America® Travel Rewards Secured","Bank of America",0,"N/A","travel","Unlimited 1.5 points per dollar on all purchases.","1.0¢ / point","",3
"Alaska Airlines Visa Signature®","Bank of America",95,"60,000 bonus miles and an Alaska's Famous Companion Fare™ after $3,000 spend in 90 days.","travel","Annual companion fare from $122 ($99 plus taxes and fees from $23).","~1.6¢ / point","Alaska Airlines",4
"Susan G. Komen® Customized Cash Rewards credit card","Bank of America",0,"$200 cash bonus after $1,000 spend in 90 days.","cash-back","Choose your own 3% cash back category each month.","1.0¢ / point","Susan G. Komen",4
"Free Spirit® Travel More World Elite Mastercard®","Bank of America",79,"50,000 bonus points + $100 companion flight voucher after $1,000 spend in 90 days.","travel","$100 companion flight voucher each year.","~1.1¢ / point","Spirit Airlines",4
"Allways Rewards Visa®","Bank of America",0,"15,000 bonus points after $1,000 spend in 90 days.","cash-back","3x points on gas, groceries, and dining.","1.0¢ / point","",4
"Air France KLM World Elite Mastercard®","Bank of America",89,"70,000 bonus miles after $2,000 spend in 90 days.","travel","5,000 anniversary bonus miles each year.","~1.2¢ / point","Air France-KLM",4
"Royal Caribbean Visa Signature®","Bank of America",0,"25,000 bonus points after your first purchase.","travel","2x points on Royal Caribbean and Celebrity Cruises purchases.","~1.0¢ / point","Royal Caribbean",3
"Norwegian Cruise Line® World Mastercard®","Bank of America",0,"20,000 bonus points after $1,000 spend in 90 days.","travel","3x points on Norwegian Cruise Line purchases.","~1.0¢ / point","Norwegian Cruise Line",3.5
"Celebrity Cruises Visa Signature®","Bank of America",0,"25,000 bonus points after your first purchase.","travel","2x points on Celebrity Cruises and Royal Caribbean purchases.","~1.0¢ / point","Celebrity Cruises",3
"BMO Harris Bank® Platinum Rewards Mastercard®","BMO",0,"$200 statement credit after $1,500 spend in 90 days.","cash-back","2x points on gas and groceries.","1.0¢ / point","",3.5
"BMO Cash Back Mastercard®","BMO",0,"$200 cash back after $1,500 spend in 90 days.","cash-back","3% cash back on gas, groceries, and dining.","1.0¢ / point","",4
"BMO Platinum Mastercard®","BMO",0,"N/A","specialized","0% intro APR for 18 months on purchases and balance transfers.","N/A","",3
"BMO Premium Rewards Mastercard®","BMO",79,"35,000 bonus points after $3,000 spend in 3 months.","travel","2 points per dollar on travel and dining.","1.0¢ / point","",3.5
"BMO Secured Mastercard®","BMO",0,"N/A","specialized","Build credit with a refundable security deposit.","N/A","",3
"Capital One Platinum Credit Card","Capital One",0,"N/A","specialized","No annual fee and automatic credit line reviews.","N/A","",3
"Capital One Platinum Secured Credit Card","Capital One",0,"N/A","specialized","Build credit with a refundable security deposit.","N/A","",3
"Capital One Quicksilver Cash Rewards","Capital One",0,"$200 cash bonus after $500 spend in 3 months.","cash-back","1.5% cash back on everything, no foreign transaction fees.","1.0¢ / point (Cash Back)","",3.5
"Capital One QuicksilverOne Rewards","Capital One",39,"N/A","cash-back","1.5% cash back on everything, for fair credit.","1.0¢ / point","",3
"Capital One Quicksilver Rewards for Students","Capital One",0,"$50 bonus after $100 spend in 3 months.","cash-back","1.5% cash back on everything, for students.","1.0¢ / point","",3
"Capital One Quicksilver Secured","Capital One",0,"N/A","specialized","Build credit while earning 1.5% cash back. Requires a security deposit.","1.0¢ / point (Cash Back)","",3
"Capital One Savor Cash Rewards","Capital One",95,"$300 cash bonus after $3,000 spend in 3 months.","cash-back","4% cash back on dining, entertainment, and popular streaming services.","1.0¢ / point","",4
"Capital One SavorOne Cash Rewards","Capital One",0,"$200 cash bonus after $500 spend in 3 months.","cash-back","3% cash back on dining, entertainment, streaming, and at grocery stores.","1.0¢ / point (Cash Back)","",4
"Capital One SavorOne Rewards for Students","Capital One",0,"$50 bonus after $100 spend in 3 months.","cash-back","3% cash back on dining, entertainment, and popular streaming services.","1.0¢ / point","",3
"Capital One Journey Student Rewards","Capital One",0,"N/A","cash-back","1% cash back on all purchases; 1.25% for on-time payments.","1.0¢ / point","",3
"Capital One Venture Rewards","Capital One",95,"75,000 miles after $4,000 spend in 3 months.","travel","Unlimited 2 miles per dollar on every purchase.","1.0¢ (statement) or ~1.85¢ (transfer)","",4.5
"Capital One VentureOne Rewards","Capital One",0,"20,000 miles after $500 spend in 3 months.","travel","Unlimited 1.25 miles per dollar on every purchase.","1.0¢ (statement) or ~1.85¢ (transfer)","",3.5
"Capital One VentureOne Rewards for Good Credit","Capital One",0,"N/A","travel","Unlimited 1.25 miles per dollar on every purchase.","1.0¢ (statement) or ~1.85¢ (transfer)","",3.5
"Capital One Venture X Rewards","Capital One",395,"75,000 miles after $4,000 spend in 3 months.","travel","$300 travel credit & 10,000 anniversary miles, effectively paying you to keep it.","1.0¢ (statement) or ~1.85¢ (transfer)","",4.5
"Kohl's Rewards® Visa","Capital One",0,"35% off your first purchase.","cash-back","7.5% in Kohl's Rewards on every purchase at Kohl's.","N/A","Kohl's",3
"REI Co-op® Mastercard®","Capital One",0,"$100 REI gift card upon approval.","cash-back","5% back on purchases at REI.","1.0¢ / point","REI",3
"Pottery Barn Key Rewards Visa","Capital One",0,"$25 in rewards for every $500 spent.","cash-back","5% back in rewards across the family of brands.","1.0¢ / point","Key Rewards",3
"Williams Sonoma Key Rewards Visa","Capital One",0,"$25 in rewards for every $500 spent.","cash-back","5% back in rewards across the family of brands.","1.0¢ / point","Key Rewards",3
"West Elm Key Rewards Visa","Capital One",0,"$25 in rewards for every $500 spent.","cash-back","5% back in rewards across the family of brands.","1.0¢ / point","Key Rewards",3
"The Key Rewards Visa","Capital One",0,"$25 in rewards for every $500 spent.","cash-back","5% back in rewards across the family of brands.","1.0¢ / point","Key Rewards",3
"Cabela's CLUB Card","Capital One",0,"Up to $50 in CLUB Points upon approval.","cash-back","2% back on purchases at Bass Pro Shops & Cabela's.","1.0¢ / point","Cabela's",2.5
"Bass Pro Shops CLUB Card","Capital One",0,"Up to $50 in CLUB Points upon approval.","cash-back","2% back on purchases at Bass Pro Shops & Cabela's.","1.0¢ / point","Bass Pro Shops",2.5
"Chase Freedom Flex®","Chase",0,"$200 bonus after $500 spend in 3 months.","cash-back","5% rotating categories PLUS 3% on dining & drugstores.","1.0¢ / point or ~2.05¢ via transfer partners.","",4.5
"Chase Freedom Unlimited®","Chase",0,"Extra 1.5% back on everything in the first year.","cash-back","1.5% cash back on everything, plus 3% on dining & drugstores.","1.0¢ / point or ~2.05¢ via transfer partners.","",4
"Chase Freedom Rise℠ Credit Card","Chase",0,"$25 statement credit after enrolling in automatic payments.","cash-back","1.5% cash back on everything.","1.0¢ / point","",3
"Chase Slate Edge℠ Credit Card","Chase",0,"N/A","specialized","Long 0% intro APR on purchases and balance transfers.","N/A","",3
"Chase Sapphire Preferred® Card","Chase",95,"75,000 points after $5,000 spend in 3 months.","travel","3x points on dining, online groceries. Points worth 25% more for travel.","1.25¢ (portal) or ~2.05¢ (transfer)","",4.5
"Chase Sapphire Reserve®","Chase",795,"100,000 bonus points + $500 Chase Travel℠ promo credit after you spend $5,000 on purchases in the first 3 months from account opening.","travel","Numerous credits for travel, dining, and lifestyle purchases.","Up to 2¢/point with Points Boost","",4.5
"Citi® / AAdvantage® Platinum Select® World Elite Mastercard®","Citi",99,"Earn 80,000 AAdvantage® bonus miles after a qualifying spend.","travel","2x miles on eligible American Airlines, restaurant, and gas station purchases.","~1.5¢ / point (AAdvantage)","American Airlines",4
"Citi Double Cash® Card","Citi",0,"$200 cash back after $1,500 spend in 6 months.","cash-back","2% cash back: 1% on purchase, 1% on payment.","1.0¢ / point or ~1.8¢ via transfer partners.","",4
"Citi Simplicity® Card","Citi",0,"N/A","specialized","Long intro APR on balance transfers plus NO late fees, NO penalty APR.","N/A","",3
"Citi Strata Premier℠ Card","Citi",95,"60,000 points after $4,000 spend in 3 months.","travel","3x points on restaurants, supermarkets, gas, air travel, and hotels.","1.0¢ (gift card) or ~1.8¢ (transfer)","",4.5
"Costco Anywhere Visa® Card by Citi","Citi",0,"N/A","cash-back","4% on eligible gas, 3% on restaurants & travel.","1.0¢ / point (Annual Certificate)","Costco",4
"Delta SkyMiles® Blue American Express Card","American Express",0,"10,000 bonus miles after $1,000 spend in 6 months.","travel","2x miles at restaurants and on Delta purchases.","~1.4¢ / point (SkyMiles)","Delta",3
"Delta SkyMiles® Gold American Express Card","American Express",0,"65,000 bonus miles after $2,000 spend in 6 months.","travel","2x miles on Delta purchases, restaurants, and at U.S. supermarkets.","~1.4¢ / point (SkyMiles)","Delta",4
"Delta SkyMiles® Platinum American Express Card","American Express",350,"85,000 bonus miles after $4,000 spend in 6 months.","travel","Annual companion certificate and 3x miles on Delta & hotel purchases.","~1.4¢ / point (SkyMiles)","Delta",4.5
"Delta SkyMiles® Reserve American Express Card","American Express",650,"95,000 bonus miles after $6,000 spend in 6 months.","travel","Delta Sky Club access and an annual companion certificate.","~1.4¢ / point (SkyMiles)","Delta",4.5
"Discover it® Cash Back","Discover",0,"Cashback Match™ at the end of your first year.","cash-back","5% cash back in rotating quarterly categories.","1.0¢ / point (Cash Back)","",4
"Hilton Honors American Express Card","American Express",0,"70,000 Hilton Honors Bonus Points + a Free Night Reward after $2,000 spend in 3 months.","travel","7x points at Hilton hotels and automatic Silver status.","~0.6¢ / point","Hilton",4
"Hilton Honors American Express Surpass® Card","American Express",150,"130,000 Hilton Honors Bonus Points + a Free Night Reward after $3,000 spend in 3 months.","travel","12x points at Hilton hotels; automatic Gold status.","~0.6¢ / point","Hilton",4.5
"Hilton Honors Aspire Card from American Express","American Express",550,"175,000 Hilton Honors Bonus Points after $6,000 spend in 6 months.","travel","Automatic top-tier Hilton Diamond status and numerous travel credits.","~0.6¢ / point (Hotel Stays)","Hilton",5
"Marriott Bonvoy Brilliant® American Express® Card","American Express",650,"95,000 Marriott Bonvoy bonus points after $6,000 spend in 6 months.","travel","Up to $300 in dining credits and automatic Platinum Elite status.","~0.8¢ / point","Marriott",4.5
"Marriott Bonvoy Bevy™ American Express® Card","American Express",250,"85,000 Marriott Bonvoy bonus points after $5,000 spend in 3 months.","travel","6x points at Marriott hotels and 4x on dining & groceries.","~0.8¢ / point","Marriott",4
"Marriott Bonvoy Bold® Credit Card","Chase",0,"Earn 30,000 Bonus Points after you spend $1,000 on purchases in your first 3 months from account opening.","travel","3x points at Marriott Bonvoy hotels.","~0.8¢ / point","Marriott",3.5
"Marriott Bonvoy Boundless® Credit Card","Chase",95,"3 Free Night Awards (up to 50,000 points each) after you spend $3,000 on purchases in your first 3 months.","travel","Annual Free Night Award (up to 35,000 points).","~0.8¢ / point","Marriott",4
"Marriott Bonvoy Bountiful® Credit Card","Chase",250,"85,000 bonus points after $4,000 spend in 3 months.","travel","6x points at Marriott hotels and 4x on dining.","~0.8¢ / point","Marriott",4
"Prime Visa","Chase",0,"$100 Amazon gift card upon approval.","cash-back","5% back at Amazon and Whole Foods Market.","1.0¢ / point","Amazon",4
"Amazon Visa","Chase",0,"$50 Amazon gift card upon approval.","cash-back","3% back at Amazon and Whole Foods Market.","1.0¢ / point","Amazon",3.5
"The World of Hyatt Credit Card","Chase",95,"Up to 60,000 bonus points.","travel","Annual free night award and automatic elite status.","~2.3¢ / point (Hyatt)","Hyatt",4.5
"Southwest Rapid Rewards® Plus Credit Card","Chase",69,"50,000 bonus points after $1,000 spend in 3 months.","travel","2 EarlyBird Check-In® each year.","~1.5¢ / point","Southwest",3.5
"Southwest Rapid Rewards® Premier Credit Card","Chase",99,"6,000 anniversary points each year.","travel","3x miles on Southwest purchases.","~1.5¢ / point","Southwest",4
"Southwest Rapid Rewards® Priority Credit Card","Chase",149,"50,000 bonus points after $1,000 spend in 3 months.","travel","$75 annual Southwest travel credit and 4 Upgraded Boardings per year.","~1.5¢ / point","Southwest",4.5
"United Gateway℠ Card","Chase",0,"30,000 bonus miles after $1,000 spend in 3 months.","travel","2x miles on United purchases, gas, and local transit.","~1.3¢ / point","United",3.5
"United℠ Explorer Card","Chase",95,"60,000 bonus miles after $3,000 spend in 3 months.","travel","Free first checked bag and 2 United Club one-time passes each year.","~1.3¢ / point","United",4
"United Quest℠ Card","Chase",250,"70,000 bonus miles and 500 Premier qualifying points after $4,000 spend in 3 months.","travel","Up to $125 in annual United purchase credit and two 5,000-mile anniversary award credits.","~1.3¢ / point","United",4.5
"United Club℠ Infinite Card","Chase",525,"90,000 bonus miles after $5,000 spend in 3 months.","travel","Full United Club membership and free checked bags.","~1.3¢ / point (MileagePlus)","United",4.5
"IHG One Rewards Premier Credit Card","Chase",99,"140,000 bonus points after $3,000 spend in 3 months.","travel","Annual free night award and automatic Platinum Elite status.","~0.7¢ / point","IHG",4.5
"IHG One Rewards Traveler Credit Card","Chase",0,"80,000 bonus points after $2,000 spend in 3 months.","travel","5x points at IHG hotels.","~0.7¢ / point","IHG",4
"British Airways Visa Signature® Card","Chase",95,"75,000 Avios after $5,000 spend in 3 months.","travel","Up to $600 in reward flight statement credits each year.","~1.5¢ / point","British Airways",4.5
"Aer Lingus Visa Signature® Card","Chase",95,"75,000 Avios after $5,000 spend in 3 months.","travel","A companion ticket good for economy travel each year you spend $30,000.","~1.5¢ / point","Aer Lingus",4
"Iberia Visa Signature® Card","Chase",95,"75,000 Avios after $5,000 spend in 3 months.","travel","A $1,000 flight discount voucher after you spend $30,000 in a year.","~1.5¢ / point","Iberia",4
"Aeroplan® Card","Chase",95,"70,000 points after $3,000 spend in 3 months.","travel","3x points on dining, groceries, and directly with Air Canada.","~1.7¢ / point","Aeroplan",4.5
"Disney® Premier Visa® Card","Chase",49,"$300 statement credit after spending $1,000 in 3 months.","cash-back","2% in Disney Rewards Dollars on card purchases at gas stations, restaurants, and Disney locations.","1.0¢ / point","Disney",3.5
"Disney® Visa® Card","Chase",0,"$150 statement credit after spending $500 in 3 months.","cash-back","1% in Disney Rewards Dollars on all card purchases.","1.0¢ / point","Disney",3
"Instacart Mastercard®","Chase",0,"Get a free year of Instacart+ ($99 value).","cash-back","5% cash back on Instacart purchases.","1.0¢ / point","Instacart",4
"DoorDash Rewards Mastercard®","Chase",0,"One free year of DashPass ($96 value).","cash-back","4% cash back on DoorDash and Caviar orders.","1.0¢ / point","DoorDash",4
"Wells Fargo Active Cash® Card","Wells Fargo",0,"$200 cash rewards after $500 spend in 3 months.","cash-back","Unlimited 2% cash rewards on all purchases.","1.0¢ / point (Cash Back)","",4
"Wells Fargo Autograph℠ Card","Wells Fargo",0,"20,000 bonus points after $1,000 spend in 3 months.","travel","3x points on restaurants, travel, gas, transit, streaming, and phone plans.","1.0¢ / point","",4
"Wells Fargo Reflect® Card","Wells Fargo",0,"N/A","specialized","One of the longest 0% intro APR periods on purchases and balance transfers.","N/A","",3
"U.S. Bank Altitude® Go Visa Signature® Card","U.S. Bank",0,"20,000 bonus points after spending $1,000 in 90 days.","travel","4x points on dining, takeout, and restaurant delivery.","1.0¢ / point","",4
"U.S. Bank Cash+® Visa Signature® Card","U.S. Bank",0,"$200 bonus after spending $1,000 in 120 days.","cash-back","5% cash back on two categories of your choice.","1.0¢ / point","",4
