Rank,Hotel Name,Sub-Region,Hotel Group,Type,HBS,Rating,Price,Value Score,Guest Score,Location,Amenities
19,"The LINE DC","Other D.C. Neighborhoods","Sydell Group","Boutique",91.8,4,550,53,92,90,90
20,"The Mayflower Hotel, Autograph Collection","Downtown & Penn Quarter","Marriott","Historic",91.6,4,580,50,90,97,90
21,"JW Marriott Washington, DC","Downtown & Penn Quarter","Marriott","Luxury",91.4,4,600,47,91,99,92
22,"Marriott Marquis Washington, DC","Downtown & Penn Quarter","Marriott","Convention",91.2,4,550,53,90,98,93
23,"Viceroy Washington DC","Dupont Circle & West End","Viceroy","Boutique",91,4,500,58,91,94,88
24,"Eaton DC","Downtown & Penn Quarter","Independent","Boutique",90.8,4,480,60,91,95,89
25,"The Darcy Hotel, Washington DC","Dupont Circle & West End","Hilton","Boutique",90.6,4,530,55,90,95,88
26,"The Royal Sonesta Washington DC Dupont Circle","Dupont Circle & West End","Sonesta","Boutique",90.4,4,550,53,90,97,89
27,"Kimpton George Hotel","Other D.C. Neighborhoods","IHG","Boutique",90.2,4,520,56,91,96,88
28,"Canopy by Hilton Washington DC The Wharf","The Wharf & Capitol Riverfront","Hilton","Boutique",90,4,550,53,92,97,89
29,"Hyatt House Washington DC / The Wharf","The Wharf & Capitol Riverfront","Hyatt","Extended Stay",89.8,4,500,58,91,97,88
30,"Grand Hyatt Washington","Downtown & Penn Quarter","Hyatt","Convention",89.6,4,520,56,88,97,91
31,"The Ven at Embassy Row, Washington, D.C., a Tribute Portfolio Hotel","Dupont Circle & West End","Marriott","Boutique",89.4,4,480,60,89,96,87
32,"The Churchill Hotel Near Embassy Row","Dupont Circle & West End","Independent","Historic",89.2,4,400,68,86,93,85
33,"Hamilton Hotel - Washington DC","Other D.C. Neighborhoods","Independent","Historic",89,4,470,61,89,98,87
34,"Hyatt Regency Washington on Capitol Hill","Other D.C. Neighborhoods","Hyatt","Business",88.8,4,490,59,87,97,89
35,"The Morrow Washington DC, Curio Collection by Hilton","Other D.C. Neighborhoods","Hilton","Boutique",88.6,4,510,57,90,89,88
36,"citizenM Washington DC Capitol","The Wharf & Capitol Riverfront","citizenM","Boutique",88.4,4,400,68,90,95,83
37,"AC Hotel by Marriott Washington DC Capitol Hill Navy Yard","The Wharf & Capitol Riverfront","Marriott","Business",88.2,4,430,65,89,91,85
38,"Washington Hilton","Dupont Circle & West End","Hilton","Convention",88,4,420,66,84,92,89
39,"Phoenix Park Hotel","Other D.C. Neighborhoods","Independent","Historic",87.8,4,430,65,86,97,85
40,"Hyatt Place Washington DC/National Mall","The Wharf & Capitol Riverfront","Hyatt","Family-Friendly",87.6,4,420,66,88,92,86
41,"Residence Inn Washington, DC/National Mall","The Wharf & Capitol Riverfront","Marriott","Extended Stay",87.4,4,450,63,87,92,87
42,"Motto by Hilton Washington DC City Center","Downtown & Penn Quarter","Hilton","Value",87.2,4,350,74,89,97,82
43,"YOTEL Washington DC","Other D.C. Neighborhoods","YOTEL","Value",87,4,320,77,88,94,81
44,"Holiday Inn Washington Capitol-National Mall","The Wharf & Capitol Riverfront","IHG","Family-Friendly",86.8,4,380,70,84,93,84
45,"The Georgetown House","Georgetown","Independent","Boutique",86.6,3.5,350,74,89,95,80
46,"The Avery Georgetown","Georgetown","Independent","Boutique",86.4,3.5,480,60,90,95,85
47,"Georgetown Inn","Georgetown","Independent","Boutique",86.2,3.5,450,63,87,96,84
48,"Georgetown Suites","Georgetown","Independent","Extended Stay",86,3.5,420,66,86,94,83
49,"The Georgetown Waterfront Inn","Georgetown","Independent","Boutique",85.8,3.5,380,70,85,98,82
50,"The Ritz-Carlton Tysons Corner","Georgetown","Marriott","Luxury",85.6,4.5,700,37,94,88,93
